domain,price,currency,status,price_source
bridging-loan.net,30000,USD-assumed,Listed,min_offer
brochuredesign.com,30000,USD-assumed,Listed,min_offer
brochuresdesign.com,4999,USD-assumed,Listed,buy_now
buildingsocietyrates.co.uk,50000,USD-assumed,Listed,min_offer
bulbous.co.uk,10000,USD-assumed,Listed,min_offer
bulkdiamonds.com,25000,USD-assumed,Listed,buy_now
bulldozerlease.com,10000,USD-assumed,Listed,min_offer
business-lenders.co.uk,10000,USD-assumed,Listed,min_offer
businessaudit.co.uk,25000,USD-assumed,Listed,buy_now
businessaudit.uk,10000,USD-assumed,Listed,min_offer
businesschristmasgifts.co.uk,10000,USD-assumed,Listed,min_offer
businesschristmasgifts.uk,50000,USD-assumed,Listed,min_offer
businesscloudsoftware.com,10000,USD-assumed,Listed,min_offer
businesscredithelp.com,10000,USD-assumed,Listed,min_offer
businessfinances.uk,10000,USD-assumed,Listed,min_offer
businessgiftideas.co.uk,10000,USD-assumed,Listed,min_offer
businesshealthcare.co.uk,50000,USD-assumed,Listed,min_offer
businesshealthcare.uk,10000,USD-assumed,Listed,min_offer
businessinsurancequotation.co.uk,10000,USD-assumed,Listed,min_offer
businessloaneligibility.com,10000,USD-assumed,Listed,min_offer
businessstrategy.uk,50000,USD-assumed,Listed,min_offer
businessventurecapital.com,10000,USD-assumed,Listed,min_offer
buybeaches.com,4999,USD-assumed,Listed,buy_now
buydarts.com,12000,USD-assumed,Listed,min_offer
buylodges.com,10000,USD-assumed,Listed,min_offer
buysellcastle.com,10000,USD-assumed,Listed,min_offer
buysportskit.com,10000,USD-assumed,Listed,min_offer
buytoletcalculator.uk,10000,USD-assumed,Listed,min_offer
cable-railing.com,10000,USD-assumed,Listed,min_offer
cablecontainment.com,10000,USD-assumed,Listed,min_offer
calculatormortgages.com,25000,USD-assumed,Listed,buy_now
calculatorsformortgage.com,25000,USD-assumed,Listed,buy_now
calendarsplanners.com,10000,USD-assumed,Listed,min_offer
campingandcaravanpark.com,10000,USD-assumed,Listed,min_offer
canadianforestry.com,10000,USD-assumed,Listed,min_offer
capitalandinterest.com,30000,USD-assumed,Listed,min_offer
capitalrepaymentmortgage.com,30000,USD-assumed,Listed,min_offer
capitalrepaymentmortgages.com,30000,USD-assumed,Listed,min_offer
car-phone-mount.com,10000,USD-assumed,Listed,min_offer
caravan-sites.com,10000,USD-assumed,Listed,min_offer
caravanparkhomes.com,10000,USD-assumed,Listed,min_offer
carbon-dioxide.co.uk,10000,USD-assumed,Listed,min_offer
carbootfair.com,10000,USD-assumed,Listed,min_offer
carhireireland.com,20000,USD-assumed,Listed,floor
carinsured.co.uk,330000,USD-assumed,Listed,buy_now
carpentryfirst.com,10000,USD-assumed,Listed,min_offer
carsafes.co.uk,50000,USD-assumed,Listed,min_offer
carsafes.uk,10000,USD-assumed,Listed,min_offer
cassavaroot.com,12000,USD-assumed,Listed,min_offer
catalogues.co.uk,10000,USD-assumed,Listed,min_offer
cataloguevideo.co.uk,10000,USD-assumed,Listed,min_offer
cataloguevideos.co.uk,10000,USD-assumed,Listed,min_offer
ccdimaging.com,10000,USD-assumed,Listed,min_offer
ccj-loan.com,10000,USD-assumed,Listed,min_offer
cctvcamera.uk,10000,USD-assumed,Listed,min_offer
cctvsecuritysystems.co.uk,50000,USD-assumed,Listed,min_offer
cebolleta.com,10000,USD-assumed,Listed,min_offer
cellobows.com,10000,USD-assumed,Listed,min_offer
cementcentre.com,10000,USD-assumed,Listed,min_offer
centredrills.uk,10000,USD-assumed,Listed,min_offer
ceramic-floor-tiles.com,10000,USD-assumed,Listed,min_offer
chargebackcalculator.com,10000,USD-assumed,Listed,min_offer
charterflights.uk,50000,USD-assumed,Listed,min_offer
chaussuresenfants.com,12000,USD-assumed,Listed,min_offer
cheap-presents.co.uk,10000,USD-assumed,Listed,min_offer
cheapaircon.com,50000,USD-assumed,Listed,min_offer
cheapbuild.co.uk,10000,USD-assumed,Listed,min_offer
cheapercapital.com,12000,USD-assumed,Listed,min_offer
cheapestparking.co.uk,10000,USD-assumed,Listed,min_offer
cheapfarefinder.co.uk,50000,USD-assumed,Listed,min_offer
cheapinsurancequote.uk,10000,USD-assumed,Listed,min_offer
cheapparkingheathrow.com,10000,USD-assumed,Listed,min_offer
cheapshorttermloans.com,10000,USD-assumed,Listed,min_offer
cheapstick.com,10000,USD-assumed,Listed,min_offer
cheaptravel.co.uk,50000,USD-assumed,Listed,min_offer
checkseo.uk,10000,USD-assumed,Listed,min_offer
chef-prive.com,10000,USD-assumed,Listed,min_offer
chicklets.co.uk,10000,USD-assumed,Listed,min_offer
chidele.com,10000,USD-assumed,Listed,min_offer
childjeans.com,10000,USD-assumed,Listed,min_offer
childrensportraits.com,10000,USD-assumed,Listed,min_offer
childrensportswear.com,4999,USD-assumed,Listed,buy_now
chocolatefountainhire.com,12000,USD-assumed,Listed,min_offer
choyes.com,12000,USD-assumed,Listed,min_offer
christmas-basket.co.uk,10000,USD-assumed,Listed,min_offer
christmas-baskets.co.uk,10000,USD-assumed,Listed,min_offer
christmas-presents.co.uk,10000,USD-assumed,Listed,min_offer
christmasforpets.co.uk,10000,USD-assumed,Listed,min_offer
christmasgiftsforpets.co.uk,10000,USD-assumed,Listed,min_offer
christmashampers.uk,50000,USD-assumed,Listed,min_offer
christmasjoyideas.com,10000,USD-assumed,Listed,min_offer
christmaspresents.co.uk,10000,USD-assumed,Listed,min_offer
christmaspresentsforpets.co.uk,10000,USD-assumed,Listed,min_offer
christmasprezzies.co.uk,10000,USD-assumed,Listed,min_offer
claddingpanels.com,4999,USD-assumed,Listed,buy_now
claimsolicitor.com,10000,USD-assumed,Listed,min_offer
cleanly.uk,50000,USD-assumed,Listed,min_offer
clips.uk,10000,USD-assumed,Listed,min_offer
clothesdesign.uk,10000,USD-assumed,Listed,min_offer
clothesdesigners.uk,50000,USD-assumed,Listed,min_offer
clothesdesigns.co.uk,10000,USD-assumed,Listed,min_offer
clothingclearance.co.uk,10000,USD-assumed,Listed,min_offer
cogk.com,28500,USD-assumed,Listed,buy_now
col-tec.com,4999,USD-assumed,Listed,buy_now
collateralfinancing.com,10000,USD-assumed,Listed,min_offer
comidacachorros.com,4999,USD-assumed,Listed,buy_now
commercial-law.uk,10000,USD-assumed,Listed,min_offer
commercialartist.uk,10000,USD-assumed,Listed,min_offer
commercialfitouts.com,4999,USD-assumed,Listed,buy_now
commercialpaintspraying.com,4999,USD-assumed,Listed,buy_now
commercialvehiclehire.com,4999,USD-assumed,Listed,buy_now
communicador.com,4999,USD-assumed,Listed,buy_now
comovilla.com,12000,USD-assumed,Listed,min_offer
companyauditing.com,4999,USD-assumed,Listed,buy_now
companyjingles.com,10000,USD-assumed,Listed,min_offer
companypensions.uk,10000,USD-assumed,Listed,min_offer
compareelectricityprices.co.uk,10000,USD-assumed,Listed,min_offer
compareelectricitysuppliers.co.uk,10000,USD-assumed,Listed,min_offer
compareenergyprices.co.uk,10000,USD-assumed,Listed,min_offer
compareenergysuppliers.co.uk,10000,USD-assumed,Listed,min_offer
comparefamilyhealthinsurance.co.uk,10000,USD-assumed,Listed,min_offer
comparefamilyhealthinsurance.uk,10000,USD-assumed,Listed,min_offer
comparegassuppliers.co.uk,10000,USD-assumed,Listed,min_offer
comparesavingsrates.com,10000,USD-assumed,Listed,min_offer
comparewaterprices.co.uk,10000,USD-assumed,Listed,min_offer
comparison-site.com,10000,USD-assumed,Listed,min_offer
competitiverates.co.uk,10000,USD-assumed,Listed,min_offer
competitoranalysis.uk,10000,USD-assumed,Listed,min_offer
compositebackdoors.com,4999,USD-assumed,Listed,buy_now
comprada.com,10000,USD-assumed,Listed,min_offer
comprarticket.com,24000,USD-assumed,Listed,buy_now
comptabilitat.com,4999,USD-assumed,Listed,buy_now
conciergist.com,12000,USD-assumed,Listed,min_offer
concrete-homes.com,12000,USD-assumed,Listed,min_offer
condommachines.com,10000,USD-assumed,Listed,min_offer
conferences.co.uk,10000,USD-assumed,Listed,min_offer
conjurar.com,10000,USD-assumed,Listed,min_offer
connect-travel.com,4999,USD-assumed,Listed,buy_now
conservatorydesign.uk,10000,USD-assumed,Listed,min_offer
consolidatemortgage.co.uk,10000,USD-assumed,Listed,min_offer
constructionequipmentlease.com,4999,USD-assumed,Listed,buy_now
consumerdrone.com,25000,USD-assumed,Listed,buy_now
contentresearch.co.uk,10000,USD-assumed,Listed,min_offer
contentresearch.uk,10000,USD-assumed,Listed,min_offer
contentwritingservices.uk,10000,USD-assumed,Listed,min_offer
copyonline.co.uk,10000,USD-assumed,Listed,min_offer
cornwallholidaylet.co.uk,10000,USD-assumed,Listed,min_offer
cornwallmarketing.com,12000,USD-assumed,Listed,min_offer
cornwallpromotions.com,4999,USD-assumed,Listed,buy_now
corporate-identity.co.uk,50000,USD-assumed,Listed,min_offer
corporate-identity.uk,20000,USD-assumed,Listed,min_offer
corporateinvitation.com,25000,USD-assumed,Listed,buy_now
corporatelogo.uk,30000,USD-assumed,Listed,min_offer
corporatelogos.co.uk,30000,USD-assumed,Listed,min_offer
corporatelogos.uk,30000,USD-assumed,Listed,min_offer
corporatemedical.co.uk,50000,USD-assumed,Listed,min_offer
corporatexmasgifts.co.uk,50000,USD-assumed,Listed,min_offer
cosmeticsdesign.co.uk,50000,USD-assumed,Listed,min_offer
cosmeticsdesign.uk,10000,USD-assumed,Listed,min_offer
cosmeticsdesigners.co.uk,10000,USD-assumed,Listed,min_offer
cosmeticsdesigners.uk,10000,USD-assumed,Listed,min_offer
couriervans.com,30000,USD-assumed,Listed,min_offer
cranehireuk.com,10000,USD-assumed,Listed,min_offer
createvideo.uk,10000,USD-assumed,Listed,min_offer
creditoinmobiliario.com,10000,USD-assumed,Listed,min_offer
creditscoring.uk,10000,USD-assumed,Listed,min_offer
ctscannerlease.com,4999,USD-assumed,Listed,buy_now
cuddle.uk,50000,USD-assumed,Listed,min_offer
currencyforecaster.com,20000,USD-assumed,Listed,min_offer
cursusinvesteren.com,10000,USD-assumed,Listed,min_offer
custom-jerseys.com,4999,USD-assumed,Listed,buy_now
custombunkers.com,25000,USD-assumed,Listed,buy_now
customerpersona.uk,10000,USD-assumed,Listed,min_offer
customexhibitionstands.com,10000,USD-assumed,Listed,min_offer
cv1.co.uk,10000,USD-assumed,Listed,min_offer
cvconsultants.com,10000,USD-assumed,Listed,min_offer
cyber-attack-insurance.com,12000,USD-assumed,Listed,min_offer
daeter.com,12000,USD-assumed,Listed,min_offer
dartsonline.com,25000,USD-assumed,Listed,buy_now
datacleaning.uk,50000,USD-assumed,Listed,min_offer
datennetze.com,4999,USD-assumed,Listed,buy_now
datingevenings.co.uk,10000,USD-assumed,Listed,min_offer
day-design.com,4999,USD-assumed,Listed,buy_now
debtsconsolidation.com,25000,USD-assumed,Listed,buy_now
deckresurface.com,4999,USD-assumed,Listed,buy_now
deep-dive.uk,10000,USD-assumed,Listed,min_offer
degreecosts.com,4999,USD-assumed,Listed,buy_now
deium.com,12000,USD-assumed,Listed,min_offer
dekoriert.com,10000,USD-assumed,Listed,min_offer
delfiin.com,10000,USD-assumed,Listed,min_offer
delivery-driver-job.co.uk,10000,USD-assumed,Listed,min_offer
delivery-driver-job.com,30000,USD-assumed,Listed,min_offer
delivery-driver-jobs.co.uk,10000,USD-assumed,Listed,min_offer
delivery-driver-jobs.com,30000,USD-assumed,Listed,min_offer
delivery-drivers.uk,10000,USD-assumed,Listed,min_offer
deliverydriverjobs.uk,10000,USD-assumed,Listed,min_offer
deluxemeubelen.com,10000,USD-assumed,Listed,min_offer
demandgeneration.uk,50000,USD-assumed,Listed,min_offer
demisexual.uk,10000,USD-assumed,Listed,min_offer
dentalequipmentlease.com,4999,USD-assumed,Listed,buy_now
depositprotectionscheme.com,20000,USD-assumed,Listed,buy_now
designbroker.uk,10000,USD-assumed,Listed,min_offer
designconsultancy.uk,10000,USD-assumed,Listed,min_offer
designdiploma.com,30000,USD-assumed,Listed,min_offer
designexample.co.uk,10000,USD-assumed,Listed,min_offer
designexample.uk,10000,USD-assumed,Listed,min_offer
designexamples.co.uk,50000,USD-assumed,Listed,min_offer
designexamples.uk,10000,USD-assumed,Listed,min_offer
designprocess.uk,10000,USD-assumed,Listed,min_offer
designprofessionals.co.uk,50000,USD-assumed,Listed,min_offer
designprofessionals.uk,10000,USD-assumed,Listed,min_offer
designs.co.uk,200000,USD-assumed,Listed,min_offer
designs.uk,100000,USD-assumed,Listed,min_offer
designtemplates.co.uk,50000,USD-assumed,Listed,min_offer
designtemplates.uk,50000,USD-assumed,Listed,min_offer
designwebsite.uk,10000,USD-assumed,Listed,min_offer
developerresource.uk,10000,USD-assumed,Listed,min_offer
developerresources.uk,10000,USD-assumed,Listed,min_offer
developmentarea.com,30000,USD-assumed,Listed,min_offer
developmentarea.uk,10000,USD-assumed,Listed,min_offer
dialyzers.com,10000,USD-assumed,Listed,min_offer
dieimmobilie.com,4999,USD-assumed,Listed,buy_now
diesel-center.com,12000,USD-assumed,Listed,min_offer
dietarymeds.com,4999,USD-assumed,Listed,buy_now
digital-venue.com,4999,USD-assumed,Listed,buy_now
digitalfishfinder.com,10000,USD-assumed,Listed,min_offer
digitalstationery.uk,10000,USD-assumed,Listed,min_offer
dingos.co.uk,50000,USD-assumed,Listed,min_offer
diningtableandchairs.uk,10000,USD-assumed,Listed,min_offer
discountmailing.com,10000,USD-assumed,Listed,min_offer
distinguida.com,4999,USD-assumed,Listed,buy_now
dividends.co.uk,50000,USD-assumed,Listed,min_offer
dmns.uk,30000,USD-assumed,Listed,min_offer
dog-blanket.com,25000,USD-assumed,Listed,buy_now
dog-blankets.com,25000,USD-assumed,Listed,buy_now
dogramp.co.uk,50000,USD-assumed,Listed,min_offer
dogramp.uk,10000,USD-assumed,Listed,min_offer
dogramps.uk,10000,USD-assumed,Listed,min_offer
donkeyjackets.co.uk,10000,USD-assumed,Listed,min_offer
dorpje.com,4999,USD-assumed,Listed,buy_now
dorsetlodges.com,4999,USD-assumed,Listed,buy_now
drainclearance.com,25000,USD-assumed,Listed,buy_now
dreamholidayvillas.com,10000,USD-assumed,Listed,min_offer
dreiraeder.com,10000,USD-assumed,Listed,min_offer
driewielfiets.com,12000,USD-assumed,Listed,min_offer
driveway-grids.com,4999,USD-assumed,Listed,buy_now
drivewaygrids.com,4999,USD-assumed,Listed,buy_now
drone-footage.com,4999,USD-assumed,Listed,buy_now
droneroofsurvey.com,12000,USD-assumed,Listed,min_offer
dryingroom.com,10000,USD-assumed,Listed,min_offer
drymilling.com,10000,USD-assumed,Listed,min_offer
dubaiwebsitedeveloper.com,4999,USD-assumed,Listed,buy_now
dumptruckinsurancedeals.com,10000,USD-assumed,Listed,min_offer
dyspeptic.com,10000,USD-assumed,Listed,min_offer
easycare.uk,50000,USD-assumed,Listed,min_offer
easypedestal.com,12000,USD-assumed,Listed,min_offer
ebarometer.com,4999,USD-assumed,Listed,buy_now
ecoheaters.com,25000,USD-assumed,Listed,buy_now
eetz.com,180000,USD-assumed,Listed,buy_now
effectiveness.uk,25000,USD-assumed,Listed,buy_now
ehrung.com,10000,USD-assumed,Listed,min_offer
ekcema.com,10000,USD-assumed,Listed,min_offer
emailsecurity.uk,10000,USD-assumed,Listed,min_offer
embrocate.com,12000,USD-assumed,Listed,min_offer
emplacar.com,10000,USD-assumed,Listed,min_offer
empower-group.com,4999,USD-assumed,Listed,buy_now
enables.co.uk,50000,USD-assumed,Listed,min_offer
energietransport.com,4999,USD-assumed,Listed,buy_now
engine-lease.com,25000,USD-assumed,Listed,buy_now
engineering-audit.com,10000,USD-assumed,Listed,min_offer
enterpriseauditing.com,4999,USD-assumed,Listed,buy_now
epdmrubberroofs.com,4999,USD-assumed,Listed,buy_now
eqpt.co.uk,10000,USD-assumed,Listed,min_offer
eqpt.uk,10000,USD-assumed,Listed,min_offer
equitycalculator.co.uk,12000,USD-assumed,Listed,min_offer
erdanker.com,4999,USD-assumed,Listed,buy_now
espines.com,10000,USD-assumed,Listed,min_offer
evaporative-cooling.com,12000,USD-assumed,Listed,min_offer
eventparkingmats.com,4999,USD-assumed,Listed,buy_now
excavador.com,12000,USD-assumed,Listed,min_offer
excavatorlease.com,4999,USD-assumed,Listed,buy_now
exhibitiontablecloths.com,12000,USD-assumed,Listed,min_offer
exploretobago.com,4999,USD-assumed,Listed,buy_now
external-door.com,4999,USD-assumed,Listed,buy_now
extraboxes.com,4999,USD-assumed,Listed,buy_now
eyelinerbrushes.com,10000,USD-assumed,Listed,min_offer
eyesight.org.uk,50000,USD-assumed,Listed,min_offer
facaderemediation.com,4999,USD-assumed,Listed,buy_now
fallingwaterdesignbuild.com,4999,USD-assumed,Listed,buy_now
familyarchive.uk,10000,USD-assumed,Listed,min_offer
familyestateplans.com,10000,USD-assumed,Listed,min_offer
familyhealthcare.uk,50000,USD-assumed,Listed,min_offer
familyhealthinsurancequote.co.uk,10000,USD-assumed,Listed,min_offer
familyhealthinsurancequote.uk,10000,USD-assumed,Listed,min_offer
farmequipmentlease.com,4999,USD-assumed,Listed,buy_now
farmingsensor.com,10000,USD-assumed,Listed,min_offer
farmmachinery.uk,50000,USD-assumed,Listed,min_offer
farmsblog.com,10000,USD-assumed,Listed,min_offer
fastbridging.com,4999,USD-assumed,Listed,buy_now
fatherchristmas.uk,10000,USD-assumed,Listed,min_offer
fatz.uk,10000,USD-assumed,Listed,min_offer
fees.co.uk,50000,USD-assumed,Listed,min_offer
feinstes.com,30000,USD-assumed,Listed,buy_now
fertilizerdispensers.com,12000,USD-assumed,Listed,min_offer
festivepresents.co.uk,10000,USD-assumed,Listed,min_offer
festivepresents.com,10000,USD-assumed,Listed,min_offer
finance-analyst.com,25000,USD-assumed,Listed,buy_now
finance.org.uk,50000,USD-assumed,Listed,min_offer
financeforcompanies.co.uk,10000,USD-assumed,Listed,min_offer
financeradio.com,10000,USD-assumed,Listed,min_offer
financerepairs.com,25000,USD-assumed,Listed,buy_now
